,title,content
9999995,트럼프 확진에… 방한 앞둔 폼페이오 “일정 재검토”,도널드 트럼프 미국 대통령의 신종 코로나바이러스 감염증 확진 사태 ‘후폭풍’이 거세다.
9999995,‘4번의 감사’에도 드러나지 않은 수협 직원의 7년 횡령,"지난 3월, 경주 수협의 예금 업무를 담당하던 한 직원이 7년간 총 153건에 걸쳐 35억 원이 넘는 금융사고를 일으켰고, 수협에서 동일기간 4번의 감사를 진행했음에도 아무도 이 사실을 인지하지 못했던 것으로 알려져 큰 충격을 주고 있다."
9999995,"합참 ""우리 선박 서해 NLL 넘었다가 복귀…항로 착오""",합동참모본부와 해양경찰에 따르면 이날 오후 1시께 인천시 옹진군 연평도 인근 우도에서 북서쪽으로 약 11.4㎞ 떨어진 곳에서 우리측 4.59t 운반선 한 척이 NLL을 넘어 북측 해역으로 들어갔다.
9999995,"벨기에 에일 맥주 그림버겐, 월드 비어 어워드 2020 수상",K-주류 문화를 선도하고 있는 ㈜골든블루는 900년 역사의 벨기에 수도원 에일 맥주 '그림버겐'이 월드 비어 어워드 2020에 참가하여 높은 품질과 우수한 맛을 인정받아 수상을 했다고 밝혔다.
9999995,"문 대통령, 독일 메르켈 총리와 통화 ""WTO 총장 선거 지지 요청""","문재인 대통령이 앙겔라 메르켈 독일 총리와 전화 통화를 하고 세계무역기구, WTO 사무총장 선거에 출마한 유명희 산업통상자원부 통상교섭본부장을 지지해 달라고 요청했습니다."
9999995,"전동 킥보드 사고, 피해자 자동차보험으로 보상 받는다",앞으로 전동 킥보드 사고로 다쳤을 때 본인이나 가족이 가입한 자동차 보험으로 명확히 보상받을 수 있게 됩니다.
9999995,"로또 1등 '1, 3, 30, 33, 36, 39'...4명 당첨 57억씩",6개 번호를 모두 맞춘 1등 당첨자는 4명이다.
9999995,"추미애 ""여야 정치인 차별 수사 합동 감찰하라""",추미애 법무부 장관이 22일 라임 자산운용 사건과 관련해 검찰의 비위 제보 은폐 및 야당 정치인에 대한 편향 수사 논란에 대한 감찰을 지시했다. 라임 사태의 핵심 인물인 김봉현 전 스타모빌리티 회장이 언론에 보낸 서한을 통해 제기한 문제들에 대해 법무부와 대검 감찰부가 합동으로 감찰하라는 것이다.
9999995,"화이자 ""코로나19 백신 11월말 긴급사용 신청 계획""",화이자는 안전성 검증이 끝나는 다음 달 셋째 주에 미 식품의약국에 긴급사용 승인 신청을 할 전망이다.
9999995,전세대출도 원리금 분할상환 가능해진다,주택담보대출처럼 이자와 원금을 함께 갚아나가는 부분분할상환 전세대출 상품이 나온다.
